PC,AB1_DIV200,AB2_DIV200,AB1_DIV850,AB2_DIV850,AB1_HGT500,AB2_HGT500,AB1_OMEGA500,AB2_OMEGA500,AB1_UWND200,AB2_UWND200,AB3_UWND200,AB1_UWND850,AB2_UWND850,AB1_VWND200,AB2_VWND200,AB3_VWND200,AB1_VWND850,AB2_VWND850,AB3_VWND850,AB1_VORT200,AB2_VORT200,AB3_VORT200
1,-0.302251145859639,0.207084641177113,0.26363889313355,-0.235460689544592,0.232288088109804,-0.0325616062162707,0.283294373162522,-0.228977447941784,0.10734470848382,-0.212437661586429,0.197796738647195,-0.24631865136273,0.127191342331779,-0.162166426724642,0.249403362594426,-0.201314776861845,-0.0489787191725358,-0.2289192652891,0.204609957965047,0.0872956279088534,-0.226585952916247,0.309555111806863
2,0.0403480166664557,0.324862453885186,-0.199169828087329,-0.269651171375775,-0.0277651090037041,0.076051871476161,-0.188609198318221,-0.316376063723159,-0.124217474144753,0.0260866799644235,0.0031588058600658,0.238193195866401,0.049852224748919,0.382726960665331,0.154444237388256,-0.240760537083395,0.332764910930856,-0.249800822691903,-0.194196284794608,-0.265058959951662,0.198859108915878,0.118099042851251
3,0.161406663933365,0.0302712303475857,0.0177718386849802,-0.0941721664162525,0.231684786483296,0.411938733231094,-0.12933030593167,-0.12762440699504,0.295780400472882,-0.248846778085879,-0.376671433592111,-0.203169627229586,-0.295963859109567,0.0134080688456948,-0.169602412139559,0.18624663493899,0.113939208263909,-0.127393629634538,0.0584320368791022,-0.257630143404585,-0.323037573221416,-0.142521160703695
4,-0.125506292351769,0.133623178997535,0.312870195075538,-0.175821113265439,-0.146419326740261,0.152612468561829,0.201808429772096,-0.134048462980322,-0.279015719084919,0.358259295572667,-0.354048670892538,-0.186725405302422,-0.183294498789067,-0.0591217370317646,-0.0101590653047951,0.0097344679372073,0.178061794473393,-0.0344133562815654,0.256963664892135,0.214588888934752,0.329411103347642,-0.277452970580641
5,0.0588813280409387,-0.139753380225943,0.118352446518358,0.0768625522124588,0.229575923440806,-0.242039025326304,-0.0301150122077162,0.109814376419557,-0.167328526973479,-0.0151011072326677,-0.0499702921179089,-0.249679273762868,-0.13241475262387,0.450781394932032,0.156549022970007,-0.0426917816836,-0.407161128688054,-0.0818199028261685,0.305391662064856,-0.423378752633203,0.21818559553474,-0.0103964053193563
6,-0.045067090615294,0.0018170228427,-0.0058679315893987,0.220375794800705,0.229596564582867,0.480712338616537,0.0545047364807488,0.168196899567609,-0.447196948305395,-0.175097036257132,0.182657778288662,0.0020104592528126,-0.201315851607863,-0.0179528670059362,0.0263351753075462,-0.183328632271872,0.21741051786009,0.408656401058742,0.082404252607181,-0.0606783369647482,0.0409999320614007,0.26214468459965
7,-0.250867725768081,-0.0330714747986862,0.246754700671748,-0.0234153967871107,-0.19656511965387,0.284789871337036,0.380307190737641,0.0469915965361273,0.36604352406521,0.141279348421387,0.19422820798691,0.0249002219899974,0.245058470361174,0.325195300088812,-0.161584245209837,0.177421546289165,0.0504304436887055,0.225229501987287,-0.0923098299764205,-0.34851846251189,0.0948756951493948,-0.0023640590164109
8,0.266184085426483,-0.0508216574819529,0.126262622636348,-0.0762746910673359,0.160534012986734,0.0580470356185226,-0.01524137416335,-0.0076541307914955,-0.409957298639136,-0.0628157594465006,0.0972620046374752,-0.243557790441574,0.605056412289506,-0.0830755051744272,-0.428164342424151,0.0655447553569928,0.0593578795944711,-0.2051257147753,-0.080908886298555,-0.0978033984191848,-0.0130171508200589,-0.109926171195302
9,-0.0308636945468734,-0.432706732907334,-0.0168258315756678,-0.295812825425463,-0.0770028873379031,0.282607198370572,-0.0618422948272406,-0.09125061878934,-0.227067491111433,-0.0978714630718654,0.102407035923636,0.201082243370737,0.0752930512848156,0.0305904174698672,0.43112669446601,0.531010664357384,-0.0916233318317828,-0.136021779448747,0.0656784299906873,0.0878734534375416,-0.0163573668250142,0.0192283762639659
10,-0.0044119498461795,-0.227084334504661,-0.0686895280865817,0.325736517587193,-0.0440308309536869,0.162901652322792,-0.156653172046265,0.237800287645242,0.244402886120956,0.070530991845341,-0.235522614110355,-0.162185538969532,0.425259106070501,0.0485409262510093,0.365310707459308,-0.232428392323955,0.346254790032434,-0.157562295832865,0.246492646576198,0.0647218734175215,0.0344150392563612,-0.0041006083500941
11,0.221494358319424,-0.042035439464465,0.0093724428148019,-0.125845354795595,-0.0190220896616963,0.125549740702873,-0.367157806510446,-0.0530787810254935,0.24359928527904,0.241581723258069,0.55582433196774,-0.389028509572564,-0.191910003806925,0.134878084442183,-0.116878981764291,0.0389211181824055,0.0780769284550276,-0.0206222038631702,0.130341577357641,0.271133488947803,0.156265192304539,0.0993775165112853
12,-0.237980980023441,-0.138509427960767,0.100590826979434,0.213358866021628,-0.0759261724843835,-0.396643265812191,0.0679159626456457,0.0544758485521846,-0.165245627535789,-0.139347318721327,0.102757536590633,-0.23263436151819,-0.242885242751124,0.174835222377458,-0.0141555218261754,0.293999768210683,0.561952590782135,-0.181094290948171,-0.191074266337058,-0.0269764002258842,-0.15604423686141,0.0098772835900614
13,0.401534705689344,-0.257298278384341,0.309071960437358,-0.1553265254011,-0.270340625564331,-0.16993393023837,0.0527140519835341,-0.0200754595389862,0.0226782807296249,0.0539559233886329,0.12830226174653,0.254527958164889,-0.133818334443423,-0.292364029934695,0.0021932866137354,-0.211647415479817,0.246333659146563,0.015704481570314,0.298402184931681,-0.376226523576252,-0.129418850393247,0.0815528554655876
14,-0.223311225759373,0.3777180337679,-0.311229945217655,0.0750453356911762,-0.0473243770533644,-0.12097411822664,-0.220153126379559,-0.0808507640930888,-0.0491180950186408,0.111094430892428,0.108233058673582,-0.0375147678415904,0.152984058054858,-0.25969805499536,0.0103017746822413,0.380045052209753,0.0898973697378072,0.18148128266974,0.47145119315962,-0.321653847693569,-0.0316620365297802,-0.0455624581870509
15,0.292590577315231,0.166030745042926,0.150862886260201,-0.09923710528772,0.13763165814404,-0.22013323847519,0.0473971657107007,-0.053525378373261,0.0517120807427082,-0.211863629148028,-0.128529758295724,0.199720516046281,0.182478096267897,0.435333650692553,-0.0233007143257403,0.16041975123721,0.175835708211501,0.385714425654705,0.307564585467832,0.369652451298482,-0.13072019201247,0.024985674030717
