PC,beta
1,-2.4325286155767800000
2,-0.9555222391475090000
3,0.2173060574933460000
4,0.8034366121544380000
5,-0.6783971414703850000
6,-0.7861645111270200000
7,-0.4506958355958760000
8,-0.5572346288464840000
9,0.8150391645265040000
