PC,beta
1,-2.688908665767100000
2,0.150235198082633000
3,-1.000341097168010000
4,-0.356706060910781000
5,-1.026854390240140000
6,-0.467717273220725000
7,-1.124603347490100000
8,-0.330999722213716000
9,-0.945633627936268000
